"id","name","type","is_international_flight","city","country_id/id","code","icao","latitude","longitude","altitude","timezone_hour","daylight_saving_times","tz"
"tt_airport_5977","Seattle Cruise Terminal","airport","TRUE","Seattle","base.us",,,47.615884,-122.330017,0,-8,"A","America/Los_Angeles"
"tt_airport_5978","Juneau Cruise Pier","airport","TRUE","Juneau","base.us",,,58.335451,-134.414978,0,-9,"A","America/Anchorage"
"tt_airport_5979","Skagway Cruise Pier","airport","TRUE","Skagway","base.us",,,59.470896,-135.31723,0,-9,"A","America/Anchorage"
"tt_airport_5980","Ketchikan Cruise Pier","airport","TRUE","Ketchikan ","base.us",,,55.346327,-131.644707,0,-9,"A","America/Anchorage"
"tt_airport_5991","Eastern WV Regional Airport","airport","TRUE","Martinsburg","base.us","MRB","KMRB",39.2407,-77.591,554,-5,"A","America/New_York"
"tt_airport_6070","Rock Hill York Co Bryant Airport","airport","TRUE","Rock Hill","base.us","RKH","KUZA",34.9878,-81.0572,667,-5,"A","America/New_York"
"tt_airport_6071","Allegheny County Airport","airport","TRUE","Pittsburgh","base.us","AGC","KAGC",40.3544,-79.9302,1252,-5,"A","America/New_York"
"tt_airport_6072","Cecil Field","airport","TRUE","Jacksonville","base.us","NZC","KVQQ",30.2187,-81.8767,81,-5,"A","America/New_York"
"tt_airport_6073","Fulton County Airport Brown Field","airport","TRUE","Atlanta","base.us","FTY","KFTY",33.7791,-84.5214,841,-5,"A","America/New_York"
"tt_airport_6078","Four Corners","airport","TRUE","Four Corners","base.us",,,36.998976,-109.045172,1000,-7,"U","America/Denver"
"tt_airport_6085","Ocean Isle Beach Airport","airport","TRUE","Ocean Isle Beach","base.us","60J",,33.9085056,-78.4366722,32,-5,"U","America/New_York"
"tt_airport_6087","Ohio State University Airport","airport","TRUE","Columbus","base.us","OSU","KOSU",40.0798,-83.073,905,-5,"U","America/New_York"
"tt_airport_6089","Addison","airport","TRUE","Addison","base.us","ADS","KADS",32.9685594,-96.8364478,644,-6,"A","America/Chicago"
"tt_airport_6090","Destin","airport","TRUE","Destin","base.us","DTS","KDTS",30.4000611,-86.4714772,23,-6,"A","America/Chicago"
"tt_airport_6091","Fort Jefferson","airport","TRUE","Fort Jefferson - Dry Tortugas","base.us","RBN",,24.61667,-82.86667,0,-5,"A","America/New_York"
"tt_airport_6098","Kinston Regional Jetport","airport","TRUE","Kinston","base.us","ISO","KISO",35.331389,-77.608889,94,-5,"A","America/New_York"
"tt_airport_6099","First Flight Airport","airport","TRUE","Kill Devil Hills","base.us","FFA","KFFA",36.02,-75.67,13,-5,"A","America/New_York"
"tt_airport_6155","Provo Municipal Airport","airport","TRUE","Provo","base.us","PVU","KPVU",40.21805555,-111.7222222,4497,-7,"A","America/Denver"
"tt_airport_6156","Steamboat Springs Airport-Bob Adams Field","airport","TRUE","Steamboat Springs","base.us","SBS","KSBS",40.51625,-106.8663056,6882,-7,"A","America/Denver"
"tt_airport_6157","Delta Municipal Airport","airport","TRUE","Delta","base.us","DTA","KDTA",39.3806386,-112.5077147,4759,-7,"A","America/Denver"
"tt_airport_6158","Richfield Minicipal Airport","airport","TRUE","Richfield","base.us","RIF","KRIF",38.7364361,-112.0989444,5301,-7,"A","America/Denver"
"tt_airport_6159","Carbon County Regional-Buck Davis Field","airport","TRUE","Price","base.us","PUC","KPUC",39.609722,-110.75278,5957,-7,"A","America/Denver"
"tt_airport_6160","Los Alamos Airport","airport","TRUE","Los Alamos","base.us","LAM","KLAM",35.8798019,-106.2694153,7171,-7,"A","America/Denver"
"tt_airport_6161","Borrego Valley Airport","airport","TRUE","Borrego Springs","base.us","BXS","KBXS",33.2590278,-116.3209722,520,-8,"A","America/Los_Angeles"
"tt_airport_6162","Lake Havasu City Airport","airport","TRUE","Lake Havasu City","base.us","HII","KHII",34.5711111,-114.3582778,783,-7,"N","America/Phoenix"
"tt_airport_6163","Winslow-Lindbergh Regional Airport","airport","TRUE","Winslow","base.us","INW","KINW",35.0219167,-110.7225278,4941,-7,"N","America/Phoenix"
"tt_airport_6164","Douglas Municipal Airport","airport","TRUE","Douglas","base.us","DGL","KDGL",31.3426028,-109.5064544,4173,-7,"N","America/Phoenix"
"tt_airport_6197","Bartow Municipal Airport","airport","TRUE","Bartow","base.us","BOW","KBOW",27.9434,-81.7834,125,-5,"U","America/New_York"
"tt_airport_6205","Livermore Municipal","airport","TRUE","Livermore","base.us","LVK","KLVK",37.41362,-121.49133,400,-8,"A","America/Los_Angeles"
"tt_airport_6206","MariposaYosemite","airport","TRUE","Mariposa","base.us","MPI","KMPI",37.3039,-120.0222,2454,-8,"A","America/Los_Angeles"
"tt_airport_6215","Liskeard Station","airport","TRUE","Liskeard","base.us",,,50.44708,-4.46753,0,0,"E","Europe/London"
"tt_airport_6218","Neets Bay","airport","TRUE","Ketchikan","base.us",,,55.778889,-131.601389,0,-9,"U","America/Anchorage"
