id,name,code,provider_id/id,city_id/id,,
hotel_provider_code_quantum_103,Noosa Heads; AU,AU~24,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_104,Newcastle; AU,AU~18,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_32,tt_city_code.rdx_city_AUS_32,tt_city_code.rdx_city_AUS_32
hotel_provider_code_quantum_105,Melbourne; AU,AU~12,tt_reservation_hotel.tt_hotel_provider_quantum,__export__.res_city_546_c5983433,tt_city_code.rdx_city_USA_604,__export__.res_city_546_c5983433
hotel_provider_code_quantum_106,Lauceston; AU,AU~23,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_107,Kalgoorlie; AU,AU~11,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_206,tt_city_code.rdx_city_AUS_206,tt_city_code.rdx_city_AUS_206
hotel_provider_code_quantum_108,Hunter Valley; AU,AU~26,tt_reservation_hotel.tt_hotel_provider_quantum,__export__.res_city_540_c96a6641,__export__.res_city_540_c96a6641,__export__.res_city_540_c96a6641
hotel_provider_code_quantum_109,Hobart; AU,AU~10,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_148,tt_city_code.rdx_city_USA_267,tt_city_code.rdx_city_AUS_148
hotel_provider_code_quantum_110,Gold coast; AU,AU~9,tt_reservation_hotel.tt_hotel_provider_quantum,__export__.res_city_543_66941122,__export__.res_city_543_66941122,__export__.res_city_543_66941122
hotel_provider_code_quantum_111,Geraldton; AU,AU~8,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_113,tt_city_code.rdx_city_CAN_183,tt_city_code.rdx_city_AUS_113
hotel_provider_code_quantum_112,Geelong; AU,AU~21,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_111,tt_city_code.rdx_city_AUS_111,tt_city_code.rdx_city_AUS_111
hotel_provider_code_quantum_113,Fremantle; AU,AU~25,tt_reservation_hotel.tt_hotel_provider_quantum,,,
hotel_provider_code_quantum_114,Darwin; AU,AU~7,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_149,tt_city_code.rdx_city_AUS_149,tt_city_code.rdx_city_AUS_149
hotel_provider_code_quantum_115,Canberra; AU,AU~6,tt_reservation_hotel.tt_hotel_provider_quantum,__export__.res_city_554_02d3a77d,__export__.res_city_554_02d3a77d,__export__.res_city_554_02d3a77d
hotel_provider_code_quantum_116,Cairns; AU,AU~5,tt_reservation_hotel.tt_hotel_provider_quantum,tt_city_code.rdx_city_AUS_3,tt_city_code.rdx_city_AUS_3,tt_city_code.rdx_city_AUS_3
